,City,Lat,Long,maxtemp,humidity,cloudiness,windspeed,country,date
0,Ürümqi,43.801,87.6005,-6.65,84,75,2.24,CN,1643504407
1,Poum,-20.2333,164.0167,81.84,76,99,9.04,NC,1643504438
2,Bathsheba,13.2167,-59.5167,77.61,69,40,16.11,BB,1643503853
3,San Cristobal,7.7669,-72.225,65.93,84,69,3.06,VE,1643504439
4,Yumen,40.2833,97.2,11.37,66,0,7.63,CN,1643504087
5,Rikitea,-23.1203,-134.9692,76.98,71,100,8.48,PF,1643503985
6,Zharkent,44.1628,80.0,23.22,59,88,1.01,KZ,1643504439
7,Kathmandu,27.7167,85.3167,39.42,93,40,2.3,NP,1643504406
8,Isla Aguada,18.7833,-91.4667,71.17,66,19,19.69,MX,1643504440
9,Dubai,25.2582,55.3047,69.22,77,0,4.61,AE,1643504354
10,Rochegda,62.8,43.25,-0.13,100,88,3.56,RU,1643504441
11,Saint-Philippe,-21.3585,55.7679,76.59,83,75,10.29,RE,1643504016
12,Tautira,-17.7333,-149.15,82.42,74,26,10.29,PF,1643504441
13,Albany,42.6001,-73.9662,8.85,61,100,15.99,US,1643504300
14,Richards Bay,-28.783,32.0377,69.22,87,5,0.87,ZA,1643504043
15,Hithadhoo,-0.6,73.0833,80.76,68,78,2.55,MV,1643504051
16,Melfi,40.9965,15.6514,33.49,67,7,6.35,IT,1643504442
17,Butaritari,3.0707,172.7902,82.56,72,78,18.01,KI,1643504021
18,Dikson,73.5069,80.5464,7.61,94,100,18.97,RU,1643504052
19,Ushuaia,-54.8,-68.3,44.26,87,100,4.61,AR,1643504001
20,Kaitangata,-46.2817,169.8464,56.28,96,100,5.35,NZ,1643504010
21,Quatre Cocos,-20.2078,57.7625,78.91,77,100,12.59,MU,1643504204
22,Port Blair,11.6667,92.75,75.24,83,75,2.3,IN,1643503857
23,Progreso,21.2833,-89.6667,68.11,60,100,14.41,MX,1643504444
24,Beyneu,45.3167,55.2,26.94,76,100,4.38,KZ,1643504163
25,Vaini,-21.2,-175.2,81.77,76,100,11.88,TO,1643504019
26,Lebu,-37.6167,-73.65,58.41,88,0,9.04,CL,1643503999
27,Bluff,-46.6,168.3333,59.32,87,100,7.52,NZ,1643504007
28,Kruisfontein,-34.0033,24.7314,58.89,91,3,4.36,ZA,1643504049
29,Los Llanos de Aridane,28.6585,-17.9182,58.75,76,100,7.0,ES,1643504099
30,Berlevåg,70.8578,29.0864,21.11,76,74,2.37,NO,1643503850
31,Nikolskoye,59.7035,30.7861,26.87,90,100,16.64,RU,1643503978
32,Castro,-24.7911,-50.0119,59.86,99,100,6.51,BR,1643504067
33,Chepo,9.1667,-79.1,78.22,84,45,6.22,PA,1643504446
34,Marsaxlokk,35.8419,14.5431,52.09,49,20,12.66,MT,1643504446
35,Saldanha,-33.0117,17.9442,62.65,84,0,12.48,ZA,1643504102
36,Kargasok,59.0556,80.8572,2.1,97,100,6.4,RU,1643504078
37,Raymondville,26.4815,-97.7831,59.11,53,7,9.01,US,1643504447
38,Saskylakh,71.9167,114.0833,-19.82,100,100,3.78,RU,1643504106
39,Sisimiut,66.9395,-53.6735,6.85,83,100,28.83,GL,1643504194
40,Kapaa,22.0752,-159.319,80.58,67,18,1.01,US,1643504016
41,Tuatapere,-46.1333,167.6833,61.56,83,100,4.76,NZ,1643504099
42,Karratha,-20.7377,116.8463,85.82,51,96,14.61,AU,1643504133
43,Umm Kaddadah,13.6017,26.6876,55.22,21,0,15.86,SD,1643504448
44,Atuona,-9.8,-139.0333,77.77,79,22,12.01,PF,1643504027
45,Hermanus,-34.4187,19.2345,65.8,83,1,10.89,ZA,1643504000
46,Flinders,-34.5833,150.8552,85.8,71,97,8.46,AU,1643504028
47,Ilulissat,69.2167,-51.1,0.27,95,100,13.67,GL,1643504085
48,Cidreira,-30.1811,-50.2056,71.58,65,12,11.41,BR,1643503833
49,Kavaratti,10.5669,72.642,80.82,71,92,8.39,IN,1643504043
50,Swan Hill,-35.3378,143.5544,83.5,52,13,4.65,AU,1643504450
51,Bayanday,53.0661,105.5139,-21.55,100,100,1.83,RU,1643504450
52,Payakumbuh,-0.2202,100.6308,72.82,93,100,1.48,ID,1643504451
53,Sur,22.5667,59.5289,69.85,51,5,2.53,OM,1643504200
54,Faya,18.3851,42.4509,53.71,83,4,5.32,SA,1643504190
55,Hong Kong,22.2855,114.1577,58.24,74,51,3.0,HK,1643504057
56,Port-Cartier,50.0334,-66.8654,7.75,80,100,11.07,CA,1643504452
57,Saint Paul Harbor,57.79,-152.4072,35.11,55,0,12.66,US,1643503953
58,Muisne,0.6,-80.0333,75.74,86,97,1.36,EC,1643504080
59,Manokwari,-0.8667,134.0833,82.08,70,100,8.03,ID,1643504453
60,Dubna,56.7333,37.1667,16.72,96,100,5.68,RU,1643504453
61,Chui,-33.6971,-53.4616,65.79,78,0,7.58,UY,1643504056
62,Longyearbyen,78.2186,15.6401,6.64,66,0,16.11,SJ,1643503764
63,Sakakah,29.9697,40.2064,43.05,51,0,7.85,SA,1643504454
64,Thompson,55.7435,-97.8558,-9.24,84,20,2.3,CA,1643504016
65,New Norfolk,-42.7826,147.0587,76.66,30,0,2.93,AU,1643503999
66,Port Alfred,-33.5906,26.891,68.45,87,11,8.03,ZA,1643503779
67,Khatanga,71.9667,102.5,-6.61,97,97,8.03,RU,1643504085
68,Norman Wells,65.282,-126.8329,-25.56,68,75,0.0,CA,1643504143
69,Portland,45.5234,-122.6762,49.66,61,100,1.01,US,1643504317
70,Punta Arenas,-53.15,-70.9167,51.91,50,0,6.91,CL,1643503966
71,Faanui,-16.4833,-151.75,80.65,71,99,8.23,PF,1643504192
72,Río Gallegos,-51.6226,-69.2181,47.82,80,100,22.79,AR,1643504455
73,Sochi,43.6,39.7303,41.09,91,100,14.7,RU,1643504177
74,Brownsville,25.9018,-97.4975,56.91,66,8,1.01,US,1643504319
75,Henties Bay,-22.116,14.2845,60.85,83,77,3.22,NA,1643504032
76,Korla,41.7597,86.1469,23.14,55,100,8.25,CN,1643504188
77,Bitung,1.4451,125.1824,85.05,70,98,7.96,ID,1643504173
78,Cape Town,-33.9258,18.4232,70.21,69,0,3.0,ZA,1643503874
79,Daşoguz,41.8363,59.9666,28.56,80,8,6.51,TM,1643504457
80,Mahébourg,-20.4081,57.7,79.09,78,40,6.91,MU,1643504086
81,Hobart,-42.8794,147.3294,77.02,57,20,1.01,AU,1643504014
82,Pine Bluff,34.2284,-92.0032,46.09,41,0,5.99,US,1643504458
83,Mataura,-46.1927,168.8643,56.73,99,100,2.64,NZ,1643503775
84,Torbay,47.6666,-52.7314,39.27,96,100,27.63,CA,1643504187
85,Chinhoyi,-17.3667,30.2,64.67,95,99,9.19,ZW,1643504459
86,Saint George,37.1041,-113.5841,57.67,15,0,4.61,US,1643504022
87,Arraial do Cabo,-22.9661,-42.0278,74.71,94,100,11.63,BR,1643504074
88,Khorramabad,33.4878,48.3558,33.89,57,0,2.06,IR,1643504459
89,Codrington,-38.2667,141.9667,71.76,74,100,8.05,AU,1643504051
90,Cherskiy,68.75,161.3,-25.6,99,100,1.95,RU,1643504001
91,East London,-33.0153,27.9116,69.33,85,3,6.15,ZA,1643503869
92,Bethel,41.3712,-73.414,18.75,58,100,4.0,US,1643503807
93,La Baule-Escoublac,47.2922,-2.364,48.02,95,100,4.61,FR,1643504461
94,Tuktoyaktuk,69.4541,-133.0374,-5.8,77,75,17.27,CA,1643504032
95,Naze,28.3667,129.4833,56.32,77,99,12.93,JP,1643504308
96,Mahon,39.8885,4.2658,45.16,87,0,6.91,ES,1643504323
97,Maniitsoq,65.4167,-52.9,8.67,75,100,26.37,GL,1643504007
98,Hilo,19.7297,-155.09,77.11,67,0,7.0,US,1643504010
99,Khem Karan,31.1428,74.5667,46.49,57,9,4.97,IN,1643504462
100,Okhotsk,59.3833,143.3,14.72,79,100,15.32,RU,1643504462
101,Geraldton,-28.7667,114.6,82.81,54,0,12.66,AU,1643504068
102,Suoyarvi,62.0833,32.35,18.91,86,100,11.32,RU,1643504463
103,Busselton,-33.65,115.3333,77.04,60,7,13.0,AU,1643503971
104,Kenai,60.5544,-151.2583,29.08,85,75,9.22,US,1643503899
105,Kieta,-6.2167,155.6333,80.19,86,100,8.7,PG,1643504174
106,Virginia Beach,36.8529,-75.978,28.45,49,0,16.11,US,1643503987
107,Jardim,-21.4803,-56.1381,78.64,68,100,3.0,BR,1643504178
108,Kununurra,-15.7667,128.7333,85.98,74,75,12.66,AU,1643504464
109,Upata,8.0086,-62.3989,72.0,77,100,6.44,VE,1643504464
110,Voh,-20.9667,164.7,88.9,59,34,9.42,NC,1643504465
111,Jamestown,42.097,-79.2353,2.84,85,0,6.91,US,1643504036
112,Vostok,46.4856,135.8833,-7.11,91,58,3.18,RU,1643504067
113,Colac,-38.3333,143.5833,70.63,81,98,7.25,AU,1643504466
114,Klaksvík,62.2266,-6.589,34.72,63,100,13.67,FO,1643503832
115,Sitka,57.0531,-135.33,34.12,92,100,11.59,US,1643504211
116,Airai,-8.9266,125.4092,66.16,80,100,4.38,TL,1643504041
117,Port Elizabeth,-33.918,25.5701,66.49,88,0,8.05,ZA,1643504020
118,Kiryat Gat,31.61,34.7642,49.41,100,0,1.81,IL,1643503864
119,Mar del Plata,-38.0023,-57.5575,77.02,67,0,21.0,AR,1643503751
120,Kargat,55.1956,80.2811,-1.93,93,69,7.87,RU,1643504468
121,Srednekolymsk,67.45,153.6833,-25.04,100,60,4.03,RU,1643503913
122,Verkhoyansk,67.5447,133.385,-30.77,100,100,1.3,RU,1643504468
123,Antofagasta,-23.65,-70.4,64.17,85,43,4.65,CL,1643504469
124,Teguise,29.0605,-13.564,62.82,68,0,12.66,ES,1643504469
125,Katsuura,35.1333,140.3,45.19,57,92,16.69,JP,1643504069
126,Kamachumu,-1.6186,31.62,64.96,66,100,4.03,TZ,1643504470
127,Ust'-Koksa,50.2696,85.6108,-6.12,85,53,0.81,RU,1643504470
128,Luau,-10.7073,22.2247,64.69,97,100,3.47,AO,1643504471
129,Barrow,71.2906,-156.7887,-18.09,100,72,9.91,US,1643504065
130,Kushmurun,52.4503,64.6311,8.44,94,100,10.0,KZ,1643504471
131,Mehamn,71.0357,27.8492,17.04,82,78,3.29,NO,1643504053
132,Batemans Bay,-35.7167,150.1833,81.99,88,76,4.7,AU,1643504421
133,Buffalo,42.8865,-78.8784,7.9,77,8,4.03,US,1643504411
134,Puerto Ayora,-0.7393,-90.3518,73.96,82,34,6.33,EC,1643503983
135,Mount Gambier,-37.8333,140.7667,69.71,78,100,8.05,AU,1643504115
136,Biak,-0.9131,122.8766,81.34,69,100,2.42,ID,1643504046
137,Kodinsk,58.6881,99.1844,-1.34,99,100,2.68,RU,1643504473
138,Salalah,17.0151,54.0924,68.27,61,72,2.46,OM,1643503990
139,Khandyga,62.6667,135.6,-34.35,97,77,1.59,RU,1643504197
140,Ribeira Grande,38.5167,-28.7,58.68,75,98,4.65,PT,1643504117
141,Vila Franca do Campo,37.7167,-25.4333,57.61,72,82,9.93,PT,1643504135
142,Imbituba,-28.24,-48.6703,71.82,82,100,5.77,BR,1643504474
143,Khasan,42.4308,130.6434,20.66,47,9,12.95,RU,1643504474
144,Denpasar,-8.65,115.2167,82.06,83,75,3.44,ID,1643504063
145,Isangel,-19.55,169.2667,80.82,85,100,13.82,VU,1643503998
146,Walvis Bay,-22.9575,14.5053,61.09,86,10,4.29,NA,1643504475
147,Hasaki,35.7333,140.8333,43.29,53,42,18.05,JP,1643503908
148,Treinta y Tres,-33.2333,-54.3833,64.38,75,0,8.97,UY,1643504476
149,Tayoltita,24.0833,-105.9333,62.06,53,0,2.66,MX,1643504476
150,Bugiri,0.5714,33.7417,69.46,79,94,4.94,UG,1643504477
151,Baykit,61.67,96.37,-11.43,100,100,1.66,RU,1643504477
152,Clyde River,70.4692,-68.5914,-7.37,71,100,9.22,CA,1643504151
153,Maţāy,28.419,30.7792,46.76,66,1,3.71,EG,1643504433
154,Redmond,47.674,-122.1215,51.76,68,100,0.76,US,1643504273
155,Yellowknife,62.456,-114.3525,-12.48,77,75,8.05,CA,1643504005
156,Kirakira,-10.4544,161.9205,84.85,74,81,10.13,SB,1643504165
157,Vanavara,60.34,102.2797,-3.32,99,100,3.22,RU,1643504478
158,Laas,46.6166,10.7002,34.29,81,15,9.01,IT,1643504479
159,Bredasdorp,-34.5322,20.0403,65.28,88,5,2.3,ZA,1643504021
160,Upernavik,72.7868,-56.1549,-0.85,96,100,7.56,GL,1643503760
161,Cajazeiras,-6.8903,-38.5553,68.72,96,100,3.2,BR,1643504480
162,Kewanee,41.2456,-89.9248,30.78,77,100,6.78,US,1643504480
163,Marinette,45.1,-87.6307,19.85,92,100,5.84,US,1643504480
164,Juba,4.8517,31.5825,74.01,33,10,3.69,SS,1643504432
165,Alofi,-19.0595,-169.9187,82.29,74,100,11.5,NU,1643504197
166,Suba,10.8438,121.0102,81.14,76,11,4.07,PH,1643504481
167,Zhezkazgan,47.8043,67.7144,8.29,98,63,8.43,KZ,1643504328
168,Lovozero,68.005,35.0117,-6.57,100,19,3.65,RU,1643504482
169,Aklavik,68.2191,-135.0107,-15.77,76,40,3.44,CA,1643504134
170,Inhambane,-23.865,35.3833,76.59,70,100,7.99,MZ,1643504482
171,Fomboni,-12.28,43.7425,82.0,67,0,5.17,KM,1643504483
172,Christchurch,-43.5333,172.6333,75.99,46,86,3.0,NZ,1643504293
173,Bilopillya,51.1502,34.3129,17.33,98,100,8.77,UA,1643504483
174,Lüderitz,-26.6481,15.1594,68.07,76,32,5.1,NA,1643504060
175,Careiro da Várzea,-3.2003,-59.8119,73.62,96,100,2.17,BR,1643504484
176,Nanortalik,60.1432,-45.2371,20.68,69,100,27.87,GL,1643504484
177,Souillac,-20.5167,57.5167,79.18,78,40,6.91,MU,1643503847
178,Tiarei,-17.5333,-149.3333,82.42,75,71,9.6,PF,1643504163
179,Sioux Lookout,50.1001,-91.917,8.98,85,100,3.44,CA,1643504069
180,Cabo San Lucas,22.8909,-109.9124,73.94,56,0,3.62,MX,1643503876
181,Khovd,48.0056,91.6419,-14.76,79,46,2.71,MN,1643503854
182,Kaeo,-35.1,173.7833,74.32,67,100,12.64,NZ,1643504123
183,Takapau,-40.0333,176.35,80.73,23,1,7.63,NZ,1643504486
184,Avarua,-21.2078,-159.775,84.25,79,20,11.5,CK,1643504011
185,Ostrovnoy,68.0531,39.5131,16.61,89,100,12.37,RU,1643504148
186,Chodavaram,17.8333,82.95,62.44,64,100,2.42,IN,1643504487
187,Sechura,-5.5569,-80.8222,74.62,68,73,12.12,PE,1643504137
188,Severo-Kuril'sk,50.6789,156.125,24.85,84,100,16.73,RU,1643503998
189,Pevek,69.7008,170.3133,-17.3,99,100,3.71,RU,1643504055
190,Nome,64.5011,-165.4064,3.16,56,0,3.13,US,1643504030
191,Tasiilaq,65.6145,-37.6368,9.82,75,100,7.56,GL,1643504002
192,Bodden Town,19.2833,-81.25,75.0,66,100,11.01,KY,1643504488
193,Rimbey,52.6334,-114.2353,23.5,85,100,3.53,CA,1643504489
194,Itarema,-2.9248,-39.9167,78.67,74,100,9.93,BR,1643504489
195,Ailigandí,9.2333,-78.0167,77.49,80,35,11.12,PA,1643504490
196,Ossora,59.2353,163.0719,23.14,89,100,26.13,RU,1643504490
197,Kamra,33.7473,73.5111,38.95,53,0,10.33,PK,1643504428
198,Bay Roberts,47.5999,-53.2648,40.33,91,100,11.99,CA,1643504491
199,La Asuncion,11.0333,-63.8628,78.53,78,94,11.5,VE,1643504491
200,Zhigalovo,54.8097,105.1578,-19.93,100,100,0.98,RU,1643504492
201,Alihe,50.5667,123.7167,3.11,74,10,3.22,CN,1643504492
202,Namatanai,-3.6667,152.4333,83.44,73,100,5.17,PG,1643504154
203,Midleton,51.9153,-8.1805,42.58,94,34,2.42,IE,1643504493
204,Bonavista,48.6499,-53.1147,36.12,95,100,43.11,CA,1643504055
205,Mountain Home,43.133,-115.6912,26.8,85,36,3.36,US,1643504493
206,Kasempa,-13.4584,25.8338,64.31,98,100,6.38,ZM,1643504493
207,Bobenheim-Roxheim,49.5875,8.3578,49.05,92,100,3.0,DE,1643504494
208,São Filipe,14.8961,-24.4956,70.63,73,31,11.48,CV,1643504093
209,Griffith,41.5284,-87.4237,22.12,65,40,1.01,US,1643504494
210,Meyzieu,45.7667,5.0,39.54,96,100,4.61,FR,1643504495
211,Morristown,36.214,-83.2949,25.23,46,20,0.0,US,1643504495
212,La Ronge,55.1001,-105.2842,8.85,78,100,6.91,CA,1643504068
213,San-Pédro,4.7485,-6.6363,77.85,90,48,2.13,CI,1643504496
214,Adrar,20.5022,-10.0711,73.89,12,100,9.37,MR,1643504069
215,Winneba,5.3511,-0.6231,77.94,91,38,2.66,GH,1643504497
216,Vardø,70.3705,31.1107,22.71,79,96,1.77,NO,1643504021
217,Luanda,-8.8368,13.2343,77.76,87,100,6.91,AO,1643504402
218,Wawa,9.9022,4.4192,73.42,23,94,5.1,NG,1643504497
219,Qaanaaq,77.484,-69.3632,3.94,90,100,11.12,GL,1643503983
220,Ngunguru,-35.6167,174.5,74.16,65,100,11.59,NZ,1643504060
221,Onufriyivka,48.9072,33.4487,22.77,93,80,10.6,UA,1643504498
222,George Town,5.4112,100.3354,81.9,90,20,0.0,MY,1643503928
223,Narsaq,60.9167,-46.05,14.36,94,100,12.17,GL,1643504015
224,Okha,53.5739,142.9478,-5.73,91,75,10.2,RU,1643504335
225,Stříbro,49.7529,13.0041,42.85,80,100,23.2,CZ,1643504499
226,Bengkulu,-3.8004,102.2655,77.97,87,100,3.8,ID,1643504203
227,Fukuechō,32.6881,128.8419,47.59,49,100,15.46,JP,1643504500
228,Carnarvon,-24.8667,113.6333,80.67,78,100,14.97,AU,1643504019
229,Fare,-16.7,-151.0167,80.78,72,94,7.78,PF,1643504210
230,Hammerfest,70.6634,23.6821,25.25,100,100,2.3,NO,1643504500
231,Zenzeli,45.9241,47.0474,30.88,90,89,10.07,RU,1643504501
232,Bose,45.4612,8.0137,42.21,53,17,3.04,IT,1643504501
233,Sun City West,33.662,-112.3413,70.54,20,75,4.61,US,1643504462
234,Tiksi,71.6872,128.8694,-9.56,98,51,4.34,RU,1643504079
235,Esperance,-33.8667,121.9,76.84,49,2,9.01,AU,1643503768
236,Hofn,64.2539,-15.2082,31.46,60,100,6.71,IS,1643504005
237,Shahreza,32.0339,51.8794,30.96,48,0,4.34,IR,1643504502
238,Peniche,39.3558,-9.3811,56.68,47,8,8.66,PT,1643504503
239,Caucaia,-3.7361,-38.6531,82.08,80,0,2.3,BR,1643504503
240,Goderich,43.7501,-81.7165,14.92,93,100,7.9,CA,1643504504
241,Chokurdakh,70.6333,147.9167,-12.35,87,98,1.36,RU,1643504023
242,Lincoln,40.8,-96.667,46.0,100,9,8.77,US,1643504258
243,Avera,33.194,-82.5271,35.71,33,0,9.71,US,1643504504
244,Escanaba,45.7453,-87.0646,18.03,84,100,5.75,US,1643504505
245,Bandarbeyla,9.4942,50.8122,75.33,73,100,19.39,SO,1643504444
246,Shingū,33.7333,135.9833,43.79,45,100,3.98,JP,1643504151
247,Nouadhibou,20.931,-17.0347,62.58,82,100,14.97,MR,1643504058
248,Touros,-5.1989,-35.4608,77.9,82,98,10.71,BR,1643504077
249,Osijek,45.5511,18.6939,38.61,62,61,6.73,HR,1643504506
250,Roald,62.5833,6.1333,42.33,70,40,26.46,NO,1643504029
251,Gilroy,37.0058,-121.5683,63.0,42,0,5.75,US,1643504506
252,Nishihara,26.1842,127.7558,64.06,91,100,8.05,JP,1643504507
253,Anloga,5.7947,0.8973,77.22,84,78,4.56,GH,1643504166
254,Pedersore,63.65,22.6833,30.33,94,100,11.27,FI,1643504507
255,Labuan,5.2767,115.2417,78.96,81,99,3.91,MY,1643504508
256,Mahabalipuram,12.6264,80.1722,78.06,76,100,11.68,IN,1643504508
257,Necochea,-38.5473,-58.7368,76.03,60,0,17.72,AR,1643504164
258,Segovia,41.1667,-4.0,42.44,30,0,4.65,ES,1643504509
259,Filingué,14.3521,3.3168,67.5,13,3,12.57,NE,1643504215
260,Lavrentiya,65.5833,-171.0,-2.2,86,3,3.51,RU,1643503831
261,Hamilton,39.1834,-84.5333,23.76,67,87,1.99,US,1643503981
262,Te Anau,-45.4167,167.7167,57.42,93,100,0.72,NZ,1643504055
263,Loei,17.4167,101.5,61.45,57,34,2.46,TH,1643504510
264,Meulaboh,4.1363,96.1285,76.55,90,39,5.12,ID,1643504510
265,Tura,25.5198,90.2201,49.48,67,0,2.24,IN,1643504053
266,Altamira,-3.2033,-52.2064,70.52,99,100,3.02,BR,1643504396
267,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,76.03,36,0,6.29,AR,1643504511
268,Eyl,7.9803,49.8164,72.91,64,87,17.38,SO,1643504512
269,Iqaluit,63.7506,-68.5145,-11.47,58,100,8.05,CA,1643504201
270,Gdańsk,54.3521,18.6464,43.9,79,75,40.29,PL,1643504384
271,Provideniya,64.3833,-173.3,4.86,86,24,4.0,RU,1643504054
272,Fortuna,40.5982,-124.1573,58.19,78,0,0.0,US,1643503887
273,Ōmagari,39.45,140.4833,27.36,89,100,14.47,JP,1643504513
274,Ondjiva,-17.0667,15.7333,69.35,80,100,3.98,AO,1643504513
275,Ancud,-41.8697,-73.8203,58.53,90,100,11.39,CL,1643504027
276,Bambari,5.768,20.6757,72.55,26,22,3.42,CF,1643504514
277,Ous,60.9058,61.5186,3.56,98,100,3.65,RU,1643504514
278,Dingle,10.9995,122.6711,81.54,77,3,2.91,PH,1643503723
